Period,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",Other manufacturing_No. (000),Foundation and superstructure_No. (000),"Decoration, repair and maintenance for buildings_No. (000)",Import and export trade_No. (000),Wholesale_No. (000),Retail_No. (000),Accommodation[3] and  food services_No. (000),Transportation and storage_No. (000),Postal and courier activities_No. (000),Information and communications_No. (000),Financing_No. (000),Insurance_No. (000),Real estate_No. (000),Professional and business services_No. (000),Public administration_No. (000),Education_No. (000),Human health and social work activities _No. (000),"Arts, entertainment and recreation_No. (000)",Other service activities_No. (000),Other industries_No. (000),Overall_No. (000)
2008,36.3,129.4,202.4,63,541.7,47.1,292.6,259.2,303.8,20.6,109.4,160.8,43.2,134.1,300.7,115.9,173.5,152.1,47.9,353.9,21.5,3509.1
2009,30.8,119.1,201.5,60.9,519.6,42.5,291,253.6,299.2,19.4,104.8,164.4,45.2,132.6,294.4,103.7,183.5,164.6,50.4,364.8,21.4,3467.6
2010,25.2,107.6,198.4,66.5,504.9,42.2,299.4,258.4,298.7,18,105.4,163.3,42.9,146.2,288.9,110.5,185.2,162.9,52.1,373.9,23.4,3474.1
2011,23.5,109.4,206.4,70.7,495.7,43.1,312.3,265.6,299.5,18,116.7,173.4,47.1,146.5,309,107.1,196.4,168.7,54.1,389.2,24.1,3576.4
2012,20.4,113,222.3,67.8,513,48.9,320.7,266.3,296.4,17.6,120.1,177.8,49.5,148.9,314.5,105.2,198.9,180,53.1,399.7,24,3658
2013,18,108.3,236.4,72.7,475.8,46.6,331.7,277.6,304.7,17.7,121.9,180.8,50.3,150.6,332.5,111.2,199.9,188.8,56.5,418.7,23.4,3724
2014,18.5,111.5,239.1,70.6,453.6,48.6,344,289.4,303.6,18.1,123.9,182.4,54.6,154.2,341.3,108.5,205.6,179.5,56.2,417.6,22.6,3743.5
2015,14.6,98.9,244.3,72.4,436.6,43.6,340.2,284.9,303.6,19.9,131.1,184.5,56.4,154.9,354.4,111.2,217,192.6,59.3,428.4,25.1,3773.8
2016,14.6,103.2,255.1,73.3,421.4,44.1,333.2,286.3,295.6,19,135.1,184.9,61.1,150.9,365.4,114.4,214.2,195,58.2,436.2,26,3787.1
2017,13.4,98.3,263.4,79.4,411.3,39.3,344,294.9,300.2,19.2,135.2,190.2,68.1,158,364.3,114.9,216.6,203.9,58.1,438.5,21.2,3832.4
2018,11.6,92.2,269.9,82.4,409.9,37.4,335.2,297.7,299.7,18.4,135.2,200.1,68.3,160.4,368.5,116.9,227.9,213.5,58.2,457.7,23.6,3884.6
2019,9,95.7,264.5,74.1,360.6,30.7,316.8,294.9,297.8,18.9,135.1,209.5,72.9,163,394.3,120.7,233.4,226.1,59.3,468.5,25.7,3871.4
2020,9.2,95.3,239.8,70.9,310.7,20.6,277.5,242.8,279.7,20.7,137.1,217.9,69.5,158.4,406.8,127.2,226.5,238.2,53.1,465.7,23.3,3690.9
2021,6,88.2,255,70.9,298.9,17.5,268.6,247.5,274.5,22.9,132.8,217.8,69.9,164.8,409.8,135.1,221.2,234.5,52.6,458.7,22.9,3670.2
