DATE,TV_LIC_QTY,DO_FREE_TV_LIC_QTY,DO_PAY_TV_LIC_QTY,NON_DO_TV_LIC_QTY,OTHER_TV_LIC_QTY,DTT_RATE,DO_PAY_PEN_RATE,TV_AUD_QTY,TV_HH_QTY,DO_PAY_TV_USER_QTY,SOUND_LIC_QTY,MNO_QTY,MVNO_QTY,LOCAL_FNO_QTY,EXT_FNO_QTY,FB_EXT_FNO_QTY,SB_EXT_FNO_QTY,RES_LINE_PEN_RATE,MOBL_PEN_RATE,MOBL_USERS_QTY,MOBL_BB_USERS_QTY,ISP_QTY,BB_USERS_QTY,HH_PEN_RATE,FTTHB_PEN_RATE,FTTH_PEN_RATE,FTTB_PEN_RATE,WIFI_AP_QTY
Mar-19,41,3,2,14,22,,,,,,2,4,,27,237,40,197,88.06,302.2,22624651,21921775,251,,,,,,56993
Feb-19,41,3,2,14,22,,,,,,2,4,,27,236,40,196,88.25,,,,251,,,,,,57045
Jan-19,41,3,2,14,22,,,,,,2,4,,27,238,42,196,88.63,,,,251,,,,,,56884
Dec-18,41,3,2,14,22,,83,6546000,2508000,2144000,2,4,,27,238,42,196,88.82,,,,251,2699029,93.2,74.3,47.8,26.5,56859
Nov-18,,,,,,,,,,,,,,,,,,,,,,,2693301,92.9,74.2,47.4,26.8,
Oct-18,,,,,,,,,,,,,,,,,,89.03,259.9,19366977,18573243,,2688949,92.8,73.9,47,27,
Sep-18,,,,,,,,,,,,,,,,,,88.95,256.7,19124197,18390517,,2683853,92.5,73.6,46.5,27.1,
Aug-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-18,,,,,,,,6530000,2497000,,,,,,,,,,,,,,,,,,,
Jun-18,,,,,,,85,,,2176000,,,,,,,,,257.5,19177360,17982457,,,,,,,
May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-17,,,,,,88,,,,,,,,,,,,,,,,,,,,,,
